1420	157	
1952	88	
821	1675	
986	1577	
969	947	
561	515	
1559	246	
920	73	
127	192	
318	1774	
146	925	
1177	23	
1829	54	
1374	1822	
273	1492	
703	1475	
1947	1957	
1057	509	
251	843	
302	1499	
1410	451	
117	1262	
1770	1359	
941	282	
1810	1448	
1811	547	
806	402	
1461	1174	
1519	80	
261	1854	
1321	1359	
973	1655	
1602	930	
892	77	
493	538	
638	575	
326	1122	
1386	390	
881	1989	
725	732	
763	1084	
1477	1275	
1090	584	
16	1219	
337	88	
1586	1094	
403	1256	
284	596	
520	998	
826	191	
85	802	
1357	170	
214	145	
679	803	
335	1742	
1414	57	
1328	126	
1639	988	
1846	878	
80	398	
1227	1544	
1341	1317	
270	694	
1991	1947	
1554	1914	
1012	86	
131	751	
639	579	
1333	192	
777	1143	
1198	1026	
1942	627	
1505	1262	
1131	1366	
184	1453	
1618	732	
557	1371	
1287	1029	
1989	1582	
835	1680	
1802	352	
1330	1830	
99	712	
851	579	
962	872	
1035	1166	
1753	367	
599	698	
1549	1884	
1654	698	
1863	1724	
1327	1890	
657	104	
1061	738	
1752	1900	
257	1154	
1292	1015	
1077	188	
985	1337	
1755	435	
1215	1864	
1316	623	
750	857	
1581	169	
1251	1161	
537	1518	
1747	1865	
573	1723	
1940	154	
967	1800	
151	302	
1564	1249	
1853	445	
895	1141	
217	1733	
1830	1544	
1369	1618	
1719	1281	
1122	1181	
102	628	
260	103	
1190	1322	
1824	1570	
1168	1934	
1224	1546	
1570	1848	
1486	254	
1060	1907	
623	1222	
1212	648	
819	1397	
1545	789	
1222	924	
1908	523	
671	567	
1859	1739	
1178	627	
296	1047	
209	1948	
802	1582	
650	1825	
816	1628	
236	1848	
1916	1327	
979	209	
601	1611	
67	1240	
239	1094	
97	1514	
1175	422	
689	308	
1666	565	
1145	778	
115	1838	
1957	288	
1597	551	
1604	1704	
183	1818	
1648	1193	
1069	1650	
1995	745	
272	15	
1892	791	
1981	1861	
713	455	
1591	183	
1643	700	
1532	380	
1706	311	
891	670	
79	605	
793	1060	
1329	376	
1084	818	
394	850	
1546	1666	
1713	883	
333	1003	
1185	1880	
602	1120	
345	310	
77	1115	
1535	1331	
1771	727	
1428	864	
1166	566	
1016	606	
783	278	
1941	1606	
111	2	
1261	1180	
1807	1777	
1628	1874	
728	1551	
865	1734	
1624	1207	
87	808	
1610	781	
1566	1354	
1312	983	
1291	80	
303	268	
1337	358	
1638	1045	
1114	1713	
1264	1566	
110	1654	
1603	1886	
1622	1362	
1741	806	
211	356	
1112	1645	
108	538	
1339	418	
1372	1533	
300	853	
769	887	
1730	1454	
1393	779	
1897	1726	
998	1733	
831	417	
1082	479	
363	701	
366	957	
541	793	
1300	247	
176	749	
1804	1744	
882	1819	
1271	1433	
328	378	
1758	717	
385	161	
182	262	
682	1166	
1156	890	
95	1310	
317	1309	
724	1952	
780	357	
900	1930	
1821	481	
1990	1569	
92	354	
770	1440	
1417	555	
1906	1785	
875	685	
1521	230	
193	1051	
1534	1412	
313	78	
1128	886	
470	1822	
1937	1427	
487	905	
34	1167	
699	1301	
305	912	
411	745	
1255	1008	
114	774	
1683	1874	
1517	370	
1246	671	
687	943	
1513	322	
241	924	
1314	1564	
136	1910	
1444	221	
1134	384	
1279	1104	
1186	992	
936	1241	
1062	263	
1788	1924	
1353	1006	
500	1679	
381	1334	
1696	1310	
755	569	
1805	1467	
37	1232	
1442	634	
160	879	
477	203	
476	491	
26	1659	
1883	1743	
1849	1196	
1594	500	
958	72	
603	1388	
96	1378	
1565	25	
1518	926	
767	646	
1806	500	
128	1281	
1380	1880	
230	757	
105	1810	
1375	49	
294	234	
205	744	
321	34	
994	1204	
1812	944	
1241	16	
1142	1474	
1945	318	
1533	1412	
220	982	
53	1442	
1270	399	
759	84	
1606	768	
1413	1542	
388	427	
1924	1988	
353	347	
1123	1189	
1076	917	
149	1367	
468	989	
1225	763	
681	269	
1954	1074	
1124	1844	
344	459	
434	996	
1615	290	
1045	715	
228	1609	
1814	61	
1305	441	
663	1978	
352	1871	
552	1467	
1174	1700	
90	713	
1098	1223	
289	1064	
1042	1940	
1099	1509	
1834	359	
1783	1273	
419	29	
1836	1605	
129	1995	
406	1377	
636	1426	
893	819	
660	1245	
1878	1197	
1273	323	
1299	1688	
1206	471	
1209	1254	
1044	1891	
197	311	
532	979	
1726	1283	
646	1548	
1704	1136	
6	964	
1216	919	
886	1565	
1229	1833	
348	821	
436	1229	
587	897	
629	17	
1766	1198	
478	1605	
1769	1071	
908	1277	
1361	1442	
1569	1380	
361	1089	
1068	1932	
714	832	
323	973	
1576	1910	
0	818	
612	672	
760	1112	
1152	1089	
1656	1642	
1745	333	
101	1017	
1274	745	
481	526	
1066	1146	
1864	1718	
1422	1608	
922	1125	
966	1708	
1102	395	
1969	937	
1415	546	
1500	374	
1129	1264	
287	601	
1081	138	
281	1470	
645	1800	
1792	899	
393	402	
942	1237	
1450	90	
1993	1752	
1963	1793	
496	1848	
1462	1659	
1326	302	
647	1980	
1710	443	
212	1742	
1257	485	
1635	223	
1183	1789	
898	537	
781	1478	
1318	1893	
581	106	
1075	880	
1411	1973	
256	1417	
10	1833	
1491	244	
1247	1723	
526	1389	
931	1496	
408	1231	
914	1662	
121	1925	
1194	1695	
672	876	
594	1452	
1360	1760	
1956	1083	
1823	573	
509	860	
409	1986	
932	502	
696	1575	
823	214	
1958	933	
1111	251	
1867	245	
984	269	
723	531	
1478	1078	
890	1496	
1881	1545	
1169	1389	
926	509	
35	888	
1283	907	
24	56	
675	1374	
1962	115	
23	1971	
177	460	
1928	289	
1238	144	
1340	1804	
1054	626	
162	1895	
1951	1348	
206	495	
1067	1257	
1217	68	
76	230	
339	1653	
350	1204	
1058	1897	
242	1465	
502	961	
306	1078	
1471	1901	
626	1519	
1110	652	
1631	1604	
721	378	
548	596	
925	952	
1623	1577	
1740	1329	
314	1943	
1708	859	
445	508	
889	445	
600	1106	
1036	1608	
919	583	
448	475	
1382	1363	
1234	425	
195	1890	
843	676	
576	129	
59	1719	
362	1716	
1839	1783	
187	998	
739	1501	
1522	839	
510	1767	
1180	275	
1808	1158	
1490	1380	
519	1844	
1119	1100	
225	718	
438	1546	
632	1160	
1092	1491	
489	1798	
1495	1600	
1293	1114	
319	277	
1852	81	
1457	1537	
1920	347	
1308	1605	
940	1926	
1677	1017	
1669	1610	
950	1124	
1026	196	
112	393	
215	316	
1809	790	
710	1502	
1476	1174	
447	810	
196	50	
1309	894	
965	1316	
1008	1033	
977	974	
1680	1467	
1599	727	
1083	1626	
255	1551	
1182	1796	
1524	359	
12	1751	
1724	81	
1252	800	
838	1989	
1164	1727	
799	1607	
486	132	
65	34	
529	718	
259	1282	
1231	1119	
62	1454	
1844	1255	
1508	488	
49	1284	
1266	824	
1761	752	
1523	106	
1499	1447	
1205	92	
1879	827	
1684	67	
1359	1603	
1033	1959	
604	991	
1921	761	
1511	12	
559	1394	
54	364	
346	1828	
1363	1828	
1281	703	
1964	836	
738	1353	
439	1146	
885	927	
813	582	
1754	925	
590	1472	
766	1032	
374	163	
349	1916	
488	677	
1889	990	
435	1816	
307	206	
57	815	
1148	811	
290	461	
1439	817	
276	1531	
72	287	
1592	236	
61	148	
1385	296	
1826	303	
701	113	
1547	726	
899	335	
